episode,timestep,reward
29,40000,818.9459000000
52,80000,819.9468000000
76,120000,817.6823000000
101,160000,810.1757000000
125,200000,801.9813000000
154,240000,803.3580000000
188,280000,797.3950000000
227,320000,810.8053000000
263,360000,785.8706000000
300,400000,795.3672000000
338,440000,788.2639000000
377,480000,793.4725000000
415,520000,790.2740000000
462,560000,801.1290000000
510,600000,784.2279000000
559,640000,794.0171000000
609,680000,778.9233000000
658,720000,801.4439000000
705,760000,791.2513000000
759,800000,812.9591000000
813,840000,804.1616000000
865,880000,829.7413000000
918,920000,804.7071000000
969,960000,820.0459000000
1023,1000000,814.4176000000
1076,1040000,939.3211000000
1134,1080000,853.3548000000
1190,1120000,866.9418000000
1243,1160000,1054.5884000000
1299,1200000,858.4866000000
1356,1240000,857.7901000000
1401,1280000,1418.8024000000
1416,1320000,2802.3286000000
1439,1360000,2206.1238000000
1473,1400000,1653.0501000000
1514,1440000,1912.8425000000
1549,1480000,1782.3037000000
1577,1520000,2119.1356000000
1599,1560000,2692.5586000000
1618,1600000,3081.7665000000
1639,1640000,2864.4498000000
1659,1680000,3365.0996000000
1680,1720000,2978.6289000000
1700,1760000,3015.8053000000
1723,1800000,2762.0624000000
1740,1840000,3336.1658000000
1763,1880000,2645.3364000000
1786,1920000,2581.3228000000
1809,1960000,2571.0217000000
1832,2000000,2695.1480000000
1853,2040000,2687.6070000000
1873,2080000,2964.6875000000
1895,2120000,2651.2178000000
1915,2160000,2867.0750000000
1934,2200000,2921.6843000000
1955,2240000,2906.6314000000
1975,2280000,2875.1504000000
1993,2320000,3256.8019000000
2011,2360000,3212.8689000000
2029,2400000,3147.7292000000
2050,2440000,2793.2503000000
2071,2480000,2697.4065000000
2091,2520000,2930.6202000000
2111,2560000,2841.6423000000
2131,2600000,2899.6079000000
2150,2640000,3098.9195000000
2169,2680000,2951.5923000000
2189,2720000,2987.8005000000
2208,2760000,2985.1666000000
2225,2800000,3309.1572000000
2243,2840000,3173.6323000000
2263,2880000,2957.2618000000
2284,2920000,2802.1783000000
2304,2960000,2824.4786000000
2325,3000000,2784.7140000000
2347,3040000,2735.2402000000
2369,3080000,2572.9213000000
2392,3120000,2634.6620000000
2412,3160000,2801.4201000000
2434,3200000,2714.4456000000
2457,3240000,2601.9020000000
2480,3280000,2560.8199000000
2501,3320000,2788.9145000000
2522,3360000,2836.0305000000
2545,3400000,2561.0346000000
2569,3440000,2495.9347000000
2593,3480000,2540.0034000000
2617,3520000,2515.4884000000
2641,3560000,2442.2596000000
2666,3600000,2476.4262000000
2689,3640000,2527.0561000000
2713,3680000,2421.5485000000
2738,3720000,2411.3092000000
2763,3760000,2440.1419000000
2788,3800000,2377.6796000000
2812,3840000,2414.3697000000
2838,3880000,2372.8516000000
2863,3920000,2424.5507000000
2888,3960000,2319.5436000000
2913,4000000,2404.7214000000
2940,4040000,2334.4411000000
2966,4080000,2302.4966000000
2992,4120000,2360.0543000000
3018,4160000,2375.1928000000
3044,4200000,2292.2755000000
3070,4240000,2398.6989000000
3097,4280000,2268.7917000000
3123,4320000,2321.1843000000
3149,4360000,2349.4919000000
3175,4400000,2305.2850000000
3201,4440000,2323.3802000000
3227,4480000,2329.5901000000
3253,4520000,2301.8496000000
3279,4560000,2339.1884000000
3305,4600000,2294.1357000000
3330,4640000,2386.9330000000
3357,4680000,2317.7412000000
3382,4720000,2377.4127000000
3408,4760000,2342.9310000000
3434,4800000,2395.6512000000
3460,4840000,2340.9742000000
3485,4880000,2361.5343000000
3511,4920000,2339.5576000000
3537,4960000,2352.0206000000
3563,5000000,2321.7155000000
3589,5040000,2326.6421000000
3616,5080000,2285.3199000000
3643,5120000,2249.9574000000
3671,5160000,2216.6017000000
3698,5200000,2254.9514000000
3727,5240000,2148.5926000000
3755,5280000,2173.2681000000
3783,5320000,2120.5306000000
3811,5360000,2183.4319000000
3840,5400000,2137.4101000000
3868,5440000,2143.7767000000
3898,5480000,2058.2298000000
3927,5520000,2065.4020000000
3956,5560000,2019.4038000000
3986,5600000,1997.2846000000
4017,5640000,1972.1753000000
4047,5680000,2010.6594000000
4077,5720000,1928.3411000000
4108,5760000,1951.2768000000
4139,5800000,1947.0060000000
4170,5840000,1937.3367000000
4201,5880000,1888.8944000000
4233,5920000,1908.6069000000
4264,5960000,1864.3774000000
4297,6000000,1856.6647000000
