episode,timestep,reward
75,40000,1561.1446000000
159,80000,1511.4231000000
238,120000,1572.2617000000
296,160000,2089.2669000000
354,200000,2041.5085000000
415,240000,2094.2004000000
484,280000,2052.3050000000
555,320000,2091.5324000000
631,360000,2089.5329000000
708,400000,2092.1648000000
781,440000,2098.6769000000
862,480000,2090.9529000000
943,520000,2092.2600000000
1032,560000,2124.1262000000
1122,600000,2124.2420000000
1214,640000,2146.7237000000
1304,680000,2129.4590000000
1392,720000,2121.6238000000
1487,760000,2115.5030000000
1590,800000,2131.2733000000
1697,840000,2105.4306000000
1800,880000,2120.7818000000
1906,920000,2093.5444000000
2009,960000,2143.0963000000
2109,1000000,2135.5667000000
2219,1040000,2184.8864000000
2330,1080000,2177.5184000000
2440,1120000,2191.7667000000
2551,1160000,2193.1789000000
2662,1200000,2189.4282000000
2774,1240000,2178.9141000000
2891,1280000,2221.1693000000
3003,1320000,2516.8766000000
3120,1360000,2251.1995000000
3239,1400000,2229.1936000000
3357,1440000,2218.0495000000
3475,1480000,2227.8937000000
3595,1520000,2302.6570000000
3718,1560000,2335.9048000000
3835,1600000,2720.7458000000
3960,1640000,2317.1989000000
4081,1680000,2363.6646000000
4203,1720000,2381.7438000000
4324,1760000,2442.4334000000
4442,1800000,2813.3364000000
4524,1840000,2738.5442000000
4620,1880000,3209.3442000000
4739,1920000,2782.2805000000
4850,1960000,3402.2482000000
4965,2000000,3140.2546000000
5000,2040000,10925.3338000000
5068,2080000,10583.2243000000
5134,2120000,9976.8481000000
5189,2160000,13084.5306000000
5243,2200000,14897.0529000000
5295,2240000,15320.4017000000
5328,2280000,11511.1058000000
5383,2320000,8884.1737000000
5453,2360000,7833.3521000000
5513,2400000,10168.6564000000
5557,2440000,20076.1249000000
5585,2480000,13410.3114000000
5608,2520000,13157.1531000000
5615,2560000,8971.7624000000
5641,2600000,20372.4804000000
5682,2640000,23324.4290000000
5728,2680000,19595.7485000000
5764,2720000,19158.0702000000
5782,2760000,17349.7745000000
5804,2800000,20124.5575000000
5856,2840000,14507.7075000000
5882,2880000,15456.6621000000
5936,2920000,14062.7571000000
5994,2960000,10123.2996000000
6023,3000000,13849.8881000000
6055,3040000,13069.8252000000
6095,3080000,20847.1649000000
6117,3120000,21541.4259000000
6141,3160000,18981.2525000000
6180,3200000,20112.9675000000
6205,3240000,17120.8467000000
6260,3280000,12756.8048000000
6290,3320000,14339.7305000000
6307,3360000,13741.8888000000
6332,3400000,22233.9370000000
6348,3440000,24534.4633000000
6374,3480000,21067.0659000000
6422,3520000,17590.8660000000
6457,3560000,19135.3591000000
6490,3600000,20191.8640000000
6529,3640000,24519.5316000000
6564,3680000,29912.0582000000
6585,3720000,25549.5256000000
6613,3760000,30534.1641000000
6639,3800000,27369.5060000000
6660,3840000,29485.0921000000
6679,3880000,33768.4619000000
6714,3920000,30067.1999000000
6747,3960000,31276.8089000000
6762,4000000,25960.8870000000
6789,4040000,22732.9792000000
6811,4080000,20910.1095000000
6843,4120000,25870.6296000000
6867,4160000,30504.8631000000
6906,4200000,25261.2669000000
6938,4240000,25722.6247000000
6964,4280000,28771.5018000000
6991,4320000,16522.0737000000
7032,4360000,26044.1540000000
7076,4400000,23358.0636000000
7112,4440000,30775.5247000000
7148,4480000,30735.8854000000
7184,4520000,30859.6163000000
7204,4560000,29713.7482000000
7221,4600000,26789.4659000000
7259,4640000,26496.5987000000
7276,4680000,20053.0786000000
7283,4720000,25788.8397000000
7304,4760000,27302.5907000000
7324,4800000,28275.6851000000
7359,4840000,28079.8686000000
7397,4880000,25223.4941000000
7436,4920000,25945.0727000000
7466,4960000,30872.6619000000
7484,5000000,27422.9943000000
7521,5040000,21683.3281000000
7557,5080000,25561.7748000000
7577,5120000,31323.0630000000
7603,5160000,28005.6574000000
7627,5200000,26224.2603000000
7655,5240000,28314.4388000000
7702,5280000,23636.4560000000
7754,5320000,9497.3511000000
