episode,timestep,reward
20,40000,786.9089000000
45,80000,796.8404000000
73,120000,777.8517000000
100,160000,788.9254000000
124,200000,776.4884000000
153,240000,779.3891000000
186,280000,769.8731000000
226,320000,784.2495000000
268,360000,773.9179000000
311,400000,774.1501000000
349,440000,759.1830000000
391,480000,779.6160000000
433,520000,775.5105000000
482,560000,767.9788000000
533,600000,751.3132000000
581,640000,754.4911000000
630,680000,777.6176000000
675,720000,781.7251000000
726,760000,781.7736000000
777,800000,798.9290000000
832,840000,793.6700000000
884,880000,813.1178000000
939,920000,801.1621000000
992,960000,812.4523000000
1046,1000000,802.2293000000
1103,1040000,843.2687000000
1160,1080000,837.3758000000
1216,1120000,856.7344000000
1270,1160000,915.8556000000
1325,1200000,917.1990000000
1380,1240000,852.5889000000
1415,1280000,1884.9995000000
1439,1320000,3237.2031000000
1465,1360000,3270.7006000000
1499,1400000,2207.4755000000
1523,1440000,2293.6926000000
1552,1480000,2533.0690000000
1570,1520000,3489.2818000000
1583,1560000,4446.6017000000
1599,1600000,3600.8983000000
1615,1640000,3698.8474000000
1629,1680000,4327.7458000000
1643,1720000,4099.3619000000
1658,1760000,3621.4110000000
1674,1800000,3901.2955000000
1691,1840000,3097.6171000000
1708,1880000,3421.8269000000
1724,1920000,3761.4255000000
1742,1960000,3217.1584000000
1762,2000000,2838.1157000000
1780,2040000,3204.2285000000
1798,2080000,3038.8778000000
1816,2120000,3134.8880000000
1833,2160000,3309.1339000000
1851,2200000,3030.7286000000
1872,2240000,2661.7339000000
1889,2280000,3331.6066000000
1906,2320000,3188.6269000000
1926,2360000,2879.3295000000
1943,2400000,3344.6137000000
1957,2440000,3432.5739000000
1975,2480000,3169.8802000000
1996,2520000,2864.8584000000
2007,2560000,3199.5800000000
2029,2600000,2726.7580000000
2047,2640000,2995.6293000000
2067,2680000,2895.3705000000
2088,2720000,2766.8114000000
2112,2760000,2418.8653000000
2134,2800000,2599.2707000000
2153,2840000,3015.9007000000
2174,2880000,2731.0812000000
2195,2920000,2580.5530000000
2218,2960000,2461.2301000000
2232,3000000,3274.0764000000
2251,3040000,3008.1145000000
2268,3080000,3168.7030000000
2281,3120000,3009.3995000000
2300,3160000,3112.6120000000
2318,3200000,3117.5507000000
2336,3240000,3218.1828000000
2354,3280000,3061.5556000000
2373,3320000,3079.9639000000
2389,3360000,3386.4330000000
2407,3400000,3164.8637000000
2427,3440000,2897.2209000000
2450,3480000,2494.3721000000
2474,3520000,2493.3230000000
2498,3560000,2487.4494000000
2522,3600000,2409.4027000000
2545,3640000,2524.6139000000
2566,3680000,2764.0117000000
2592,3720000,2262.0921000000
2617,3760000,2337.5775000000
2641,3800000,2479.2077000000
2666,3840000,2340.8825000000
2689,3880000,2538.7133000000
2715,3920000,2210.0167000000
2738,3960000,2678.6395000000
2759,4000000,2715.9681000000
2781,4040000,2707.8226000000
2802,4080000,2627.9460000000
2821,4120000,2968.6609000000
2843,4160000,2602.2603000000
2867,4200000,2463.7420000000
2890,4240000,2506.1219000000
2912,4280000,2655.2741000000
2935,4320000,2530.7667000000
2959,4360000,2454.5918000000
2981,4400000,2656.9186000000
3005,4440000,2446.1542000000
3030,4480000,2366.0343000000
3057,4520000,2263.1442000000
3084,4560000,2267.2064000000
3111,4600000,2231.0362000000
3138,4640000,2215.5797000000
3165,4680000,2225.0807000000
3191,4720000,2316.9564000000
3219,4760000,2157.3032000000
3245,4800000,2300.8504000000
3273,4840000,2156.6389000000
3301,4880000,2163.1624000000
3329,4920000,2177.7057000000
3358,4960000,2123.8671000000
3385,5000000,2172.5543000000
3413,5040000,2231.8346000000
3442,5080000,2092.1189000000
3469,5120000,2164.3554000000
3498,5160000,2101.4842000000
3527,5200000,2086.2137000000
3556,5240000,2126.2580000000
3584,5280000,2132.0794000000
3612,5320000,2190.4803000000
3639,5360000,2253.7679000000
3668,5400000,2060.8201000000
3696,5440000,2163.2505000000
3725,5480000,2028.5109000000
3754,5520000,2051.4146000000
3781,5560000,2115.4923000000
3807,5600000,2268.4505000000
3829,5640000,2006.0448000000
3857,5680000,2082.1047000000
3881,5720000,2384.8687000000
3910,5760000,2068.5413000000
3938,5800000,2058.2855000000
3965,5840000,2082.0564000000
3996,5880000,1943.1246000000
4027,5920000,1897.7875000000
4060,5960000,1818.7700000000
4093,6000000,1775.4129000000
