episode,timestep,reward
55,40000,1899.7584000000
117,80000,1771.1306000000
178,120000,1695.0496000000
240,160000,1752.2812000000
303,200000,1723.1397000000
355,240000,1660.2370000000
440,280000,1474.1735000000
523,320000,1483.9501000000
610,360000,1463.3462000000
698,400000,1410.5128000000
786,440000,1415.3672000000
872,480000,1335.0434000000
969,520000,1339.0160000000
1077,560000,1282.3944000000
1177,600000,1340.3284000000
1280,640000,1354.4540000000
1386,680000,1344.2465000000
1489,720000,1345.8482000000
1594,760000,1357.0449000000
1709,800000,1303.0031000000
1823,840000,1268.0098000000
1933,880000,1386.4991000000
2044,920000,1350.1150000000
2158,960000,1298.5452000000
2270,1000000,1319.8588000000
2391,1040000,1299.0801000000
2518,1080000,1253.2173000000
2642,1120000,1266.6701000000
2763,1160000,1301.2979000000
2886,1200000,1299.5808000000
3010,1240000,1210.0030000000
3142,1280000,1235.6698000000
3280,1320000,1175.3828000000
3418,1360000,1296.1773000000
3563,1400000,1074.3124000000
3708,1440000,1112.4560000000
3850,1480000,1103.1848000000
3996,1520000,1237.1663000000
4104,1560000,1365.2732000000
4227,1600000,1547.8707000000
4361,1640000,1357.4056000000
4470,1680000,1549.6842000000
4617,1720000,1563.2905000000
4744,1760000,1722.7178000000
4849,1800000,2751.4630000000
4941,1840000,2967.1730000000
