episode,timestep,reward
29,40000,765.6072000000
49,80000,822.4916000000
67,120000,844.7608000000
85,160000,820.9284000000
104,200000,823.0691000000
125,240000,812.2435000000
159,280000,763.3853000000
195,320000,757.2583000000
236,360000,707.4652000000
278,400000,715.6210000000
319,440000,693.5660000000
363,480000,673.9847000000
417,520000,650.0900000000
477,560000,629.8878000000
543,600000,598.4243000000
610,640000,573.3593000000
687,680000,539.5581000000
765,720000,524.7737000000
851,760000,518.9501000000
945,800000,510.3908000000
1049,840000,487.4177000000
1161,880000,475.3339000000
1278,920000,453.2568000000
1402,960000,447.8281000000
1471,1000000,523.8522000000
1590,1040000,664.7207000000
1666,1080000,483.0146000000
1825,1120000,467.0527000000
1875,1160000,1489.7593000000
1999,1200000,726.2102000000
2150,1240000,447.7636000000
2197,1280000,894.5593000000
2247,1320000,1457.9848000000
2294,1360000,977.9804000000
2370,1400000,1127.8754000000
2457,1440000,952.5275000000
2533,1480000,1108.8858000000
2573,1520000,2020.9146000000
2598,1560000,2803.3173000000
2613,1600000,2312.4600000000
2648,1640000,1702.5527000000
2684,1680000,1627.9667000000
2723,1720000,1615.5525000000
2759,1760000,2006.9457000000
2793,1800000,1717.8831000000
2834,1840000,1628.4516000000
2878,1880000,1429.2405000000
2919,1920000,1390.3700000000
2968,1960000,1176.1206000000
3010,2000000,1343.0167000000
3057,2040000,1217.9507000000
3105,2080000,1214.2520000000
3159,2120000,1132.4784000000
3209,2160000,1142.7515000000
3265,2200000,1003.4190000000
3319,2240000,1125.0726000000
3371,2280000,1151.2416000000
3428,2320000,1025.0711000000
3488,2360000,1030.8729000000
3550,2400000,991.1814000000
3614,2440000,1008.8952000000
3683,2480000,879.4812000000
3746,2520000,914.3052000000
3818,2560000,892.6533000000
3906,2600000,660.9395000000
4014,2640000,500.2116000000
4140,2680000,440.8536000000
4294,2720000,353.5115000000
4543,2760000,156.3549000000
4836,2800000,165.4148000000
4882,2840000,1157.2118000000
4941,2880000,923.8943000000
4996,2920000,972.4210000000
5032,2960000,1444.0963000000
5061,3000000,1921.6402000000
5091,3040000,1802.9942000000
5121,3080000,1848.1793000000
5148,3120000,2112.9666000000
5174,3160000,2076.6174000000
5199,3200000,2151.8830000000
5227,3240000,2123.6293000000
5253,3280000,2027.3178000000
5280,3320000,1990.5493000000
5305,3360000,2149.1117000000
5334,3400000,2017.9439000000
5363,3440000,1889.0125000000
5392,3480000,1935.4728000000
5419,3520000,2121.9670000000
5444,3560000,2184.9843000000
5455,3600000,5478.2813000000
5467,3640000,4949.4372000000
5481,3680000,4494.7814000000
