episode,timestep,reward
50,40000,2158.4894000000
101,80000,2092.7871000000
159,120000,1977.1250000000
214,160000,1996.9698000000
273,200000,1893.9202000000
333,240000,1858.7716000000
400,280000,1941.4112000000
473,320000,2011.1305000000
544,360000,1944.6332000000
610,400000,1906.1388000000
680,440000,1971.3418000000
753,480000,1935.9670000000
826,520000,1937.8921000000
904,560000,2003.5596000000
982,600000,1964.5452000000
1065,640000,1958.5348000000
1147,680000,1930.4975000000
1227,720000,1974.5679000000
1314,760000,1879.2414000000
1408,800000,1947.1134000000
1496,840000,1967.4709000000
1588,880000,1902.7076000000
1683,920000,1851.9777000000
1779,960000,1870.3212000000
1875,1000000,1819.3217000000
1974,1040000,1908.0071000000
2076,1080000,1871.5190000000
2174,1120000,2023.3772000000
2277,1160000,1875.2985000000
2379,1200000,1928.1256000000
2476,1240000,1971.3040000000
2579,1280000,2000.2111000000
2681,1320000,2036.6186000000
2785,1360000,1983.6016000000
2891,1400000,1990.8405000000
2995,1440000,1930.2190000000
3101,1480000,1891.9202000000
3204,1520000,2234.2324000000
3313,1560000,2047.8563000000
3423,1600000,2057.2202000000
3530,1640000,2090.0723000000
3639,1680000,2098.8207000000
3744,1720000,2357.5224000000
3845,1760000,2769.0313000000
3937,1800000,3608.0543000000
3999,1840000,3717.3828000000
4060,1880000,5932.4566000000
4138,1920000,5702.4776000000
4178,1960000,5823.1191000000
4257,2000000,5252.9733000000
4287,2040000,13607.8403000000
4300,2080000,13881.7114000000
4315,2120000,17650.7109000000
4337,2160000,14580.6442000000
4363,2200000,15384.4422000000
4378,2240000,15373.1679000000
4433,2280000,7184.2122000000
4488,2320000,6408.2780000000
4571,2360000,4978.7079000000
4655,2400000,4941.1250000000
4718,2440000,4540.2045000000
4785,2480000,8109.7633000000
4824,2520000,4774.3316000000
4905,2560000,5924.8605000000
4940,2600000,7243.5698000000
4996,2640000,6017.5311000000
5059,2680000,6517.7316000000
5107,2720000,7194.7860000000
5151,2760000,7377.6431000000
5200,2800000,9621.3953000000
5235,2840000,11431.5739000000
5281,2880000,11363.5111000000
5321,2920000,12884.8805000000
5353,2960000,16760.7424000000
5389,3000000,15328.8680000000
5421,3040000,16864.5435000000
5451,3080000,17987.8923000000
5469,3120000,21584.8751000000
5495,3160000,23001.7961000000
5528,3200000,23947.9785000000
5549,3240000,24136.1411000000
5576,3280000,23875.4131000000
5599,3320000,24889.6046000000
5624,3360000,27003.1098000000
5649,3400000,26175.1894000000
5676,3440000,21596.5752000000
5695,3480000,24654.1630000000
5728,3520000,23360.4706000000
5752,3560000,27922.4857000000
5777,3600000,28548.9511000000
5807,3640000,25508.1201000000
5828,3680000,23106.1645000000
5854,3720000,28511.1224000000
5871,3760000,22024.9380000000
5899,3800000,31026.7584000000
5910,3840000,27876.7282000000
5925,3880000,23458.8677000000
5948,3920000,25573.6805000000
5968,3960000,25930.5593000000
5995,4000000,24259.3690000000
6017,4040000,25194.0214000000
6036,4080000,24441.9812000000
6062,4120000,26222.3126000000
6094,4160000,24545.2869000000
6125,4200000,30604.8152000000
6146,4240000,31090.3263000000
6162,4280000,24662.8813000000
6180,4320000,29707.2454000000
6203,4360000,33488.9995000000
6217,4400000,31283.1352000000
6238,4440000,26049.7070000000
6249,4480000,29098.2128000000
6269,4520000,25205.5393000000
6296,4560000,27036.4671000000
6320,4600000,28849.1707000000
6338,4640000,27392.4882000000
6361,4680000,26241.0110000000
6376,4720000,32531.2548000000
6398,4760000,24948.7777000000
6431,4800000,24955.4496000000
6458,4840000,32931.4113000000
6479,4880000,25505.9092000000
6512,4920000,27654.1099000000
6534,4960000,26287.1152000000
6559,5000000,30414.8405000000
