episode,timestep,reward
91,40000,1215.0131000000
148,80000,2057.0163000000
196,120000,2501.6042000000
245,160000,2488.0994000000
292,200000,2515.3090000000
339,240000,2548.9683000000
401,280000,2484.7348000000
468,320000,2514.3092000000
534,360000,2316.6352000000
604,400000,2286.2869000000
676,440000,2313.9875000000
745,480000,2356.9184000000
815,520000,2320.2658000000
900,560000,2320.0450000000
983,600000,2321.3788000000
1063,640000,2313.2880000000
1143,680000,2299.0560000000
1227,720000,2310.1543000000
1311,760000,2311.7543000000
1403,800000,2336.6846000000
1493,840000,2336.2515000000
1583,880000,2341.3238000000
1674,920000,2312.4139000000
1768,960000,2331.0037000000
1859,1000000,2323.3373000000
1959,1040000,2375.0445000000
2061,1080000,2330.7692000000
2161,1120000,2359.8927000000
2261,1160000,2331.1439000000
2362,1200000,2358.8058000000
2465,1240000,2344.6803000000
2571,1280000,2365.2792000000
2679,1320000,2375.9008000000
2789,1360000,2361.7545000000
3007,1440000,2352.9204000000
3117,1480000,2332.7222000000
3229,1520000,2381.2858000000
3344,1560000,2385.7881000000
3460,1600000,2379.4877000000
3576,1640000,2381.3670000000
3692,1680000,2359.7241000000
3811,1720000,2379.8239000000
3928,1760000,2411.3774000000
4046,1800000,2601.6644000000
4167,1840000,2474.2990000000
4287,1880000,2513.6829000000
4406,1920000,2521.0508000000
4526,1960000,2556.0090000000
4646,2000000,2551.1804000000
4763,2040000,2897.6085000000
4881,2080000,2870.4927000000
4939,2120000,3213.1051000000
5048,2160000,3573.4909000000
5104,2200000,4225.5047000000
5201,2240000,5061.6084000000
5302,2280000,4466.4452000000
5398,2320000,4747.6775000000
5473,2360000,5682.6596000000
5535,2400000,6586.0770000000
5581,2440000,6931.2291000000
5672,2480000,4479.0233000000
5739,2520000,10215.8580000000
5769,2560000,13523.3473000000
5867,2600000,4622.1919000000
5956,2640000,6056.4035000000
6009,2680000,6824.4022000000
6046,2720000,10617.2143000000
6069,2760000,9674.2112000000
6141,2800000,7489.6133000000
6184,2840000,15585.2343000000
6230,2880000,14473.2846000000
6317,2920000,6770.0981000000
6395,2960000,8536.5994000000
6452,3000000,13861.3926000000
6506,3040000,14647.1477000000
6554,3080000,16731.9683000000
6602,3120000,12848.9817000000
6616,3160000,18911.4135000000
6642,3200000,15954.9005000000
6653,3240000,20276.3736000000
6669,3280000,27558.8541000000
6695,3320000,21631.3835000000
6706,3360000,22049.2930000000
6733,3400000,21748.5862000000
6758,3440000,27958.5390000000
6782,3480000,18164.2877000000
6802,3520000,23117.0941000000
6811,3560000,34331.3929000000
6834,3600000,13226.7233000000
6865,3640000,29040.0893000000
6894,3680000,19007.1647000000
6902,3720000,38648.8740000000
6920,3760000,26536.7032000000
6928,3800000,37296.0914000000
6934,3840000,37364.8200000000
6940,3880000,21952.3824000000
6970,3920000,23385.1788000000
6990,3960000,21496.4431000000
7029,4000000,19705.4112000000
7031,4040000,28340.3268000000
7035,4080000,51932.5872000000
7078,4120000,13136.0360000000
7131,4160000,12052.2567000000
7180,4200000,12862.2088000000
7227,4240000,13111.6845000000
7258,4280000,12137.5799000000
7310,4320000,12638.9424000000
7362,4360000,14227.9895000000
7406,4400000,15931.5103000000
7427,4440000,18694.2579000000
7478,4480000,9553.3042000000
7489,4520000,13633.2846000000
7555,4560000,8807.9623000000
7566,4600000,26091.1578000000
7604,4640000,10212.3893000000
