episode,timestep,reward
10,40000,593.5747000000
20,80000,602.9998000000
33,120000,530.6047000000
47,160000,546.8469000000
62,200000,551.7821000000
77,240000,552.8254000000
104,280000,548.0644000000
137,320000,550.9481000000
177,360000,565.3518000000
218,400000,546.6721000000
259,440000,541.6006000000
305,480000,537.8839000000
365,520000,538.1278000000
427,560000,543.3352000000
490,600000,542.3997000000
553,640000,548.3829000000
620,680000,539.9017000000
680,720000,532.7882000000
748,760000,537.5475000000
821,800000,563.2217000000
892,840000,557.7953000000
965,880000,569.8771000000
1041,920000,563.4066000000
1112,960000,574.7333000000
1188,1000000,571.1740000000
1268,1040000,595.3249000000
1348,1080000,584.1961000000
1427,1120000,595.2834000000
1507,1160000,591.1756000000
1585,1200000,597.0346000000
1667,1240000,595.8897000000
1743,1280000,680.6796000000
1825,1320000,647.3930000000
1898,1360000,769.6938000000
1978,1400000,677.9582000000
2056,1440000,724.3353000000
2133,1480000,708.3676000000
2159,1520000,959.6671000000
2208,1560000,1379.7066000000
2260,1600000,1124.0662000000
2311,1640000,1259.9592000000
2344,1680000,1439.5454000000
2370,1720000,1808.6544000000
2399,1760000,1370.2966000000
2437,1800000,1489.8241000000
2474,1840000,1655.4529000000
2510,1880000,1599.6084000000
2545,1920000,1647.1922000000
2574,1960000,1893.9340000000
2605,2000000,1879.5498000000
2639,2040000,1714.6546000000
2678,2080000,1475.5548000000
2720,2120000,1370.1746000000
2762,2160000,1374.8289000000
2799,2200000,1544.9228000000
2838,2240000,1511.4781000000
2877,2280000,1503.3762000000
2915,2320000,1520.6014000000
2951,2360000,1640.8404000000
2985,2400000,1687.5340000000
3023,2440000,1535.6986000000
3061,2480000,1530.7190000000
3100,2520000,1508.5563000000
3139,2560000,1527.2594000000
3178,2600000,1503.2443000000
3217,2640000,1505.5947000000
3256,2680000,1506.7100000000
3295,2720000,1508.6750000000
3334,2760000,1496.3779000000
3372,2800000,1528.0224000000
3411,2840000,1507.1148000000
3450,2880000,1502.4547000000
3487,2920000,1537.4475000000
3525,2960000,1524.0952000000
3564,3000000,1501.6605000000
