episode,timestep,reward
22,40000,786.4435000000
45,80000,792.9247000000
66,120000,767.2632000000
90,160000,772.4032000000
113,200000,776.1081000000
131,240000,781.0149000000
168,280000,764.6107000000
204,320000,783.6776000000
238,360000,776.3609000000
275,400000,780.1637000000
316,440000,752.1714000000
357,480000,756.7688000000
401,520000,765.3734000000
452,560000,763.5509000000
499,600000,755.3710000000
551,640000,762.2936000000
602,680000,740.4131000000
646,720000,777.6212000000
691,760000,902.4204000000
745,800000,788.5489000000
797,840000,792.1184000000
848,880000,806.8599000000
903,920000,786.9566000000
953,960000,802.7159000000
1007,1000000,785.3738000000
1065,1040000,825.6554000000
1123,1080000,805.7659000000
1182,1120000,834.3495000000
1240,1160000,814.7958000000
1297,1200000,833.1897000000
1353,1240000,829.0984000000
1413,1280000,860.6447000000
1470,1320000,955.4438000000
1528,1360000,1042.5259000000
1584,1400000,1052.8734000000
1625,1440000,880.3234000000
1682,1480000,1142.5373000000
1742,1520000,944.0473000000
1800,1560000,1115.2187000000
1856,1600000,1195.8335000000
1907,1640000,1493.1131000000
1956,1680000,1586.7207000000
1988,1720000,2361.5121000000
2030,1760000,1812.0962000000
2048,1800000,4397.7036000000
2060,1840000,4622.7727000000
2078,1880000,4371.1803000000
2094,1920000,3826.7854000000
2111,1960000,4362.6020000000
2126,2000000,3847.6892000000
2142,2040000,3847.1050000000
2156,2080000,3981.3905000000
2171,2120000,3845.0513000000
2187,2160000,3782.2880000000
2203,2200000,3732.0176000000
2217,2240000,4012.3138000000
2231,2280000,4336.7588000000
2245,2320000,4145.6467000000
2263,2360000,3347.4834000000
2278,2400000,3899.6764000000
2295,2440000,3584.4457000000
2311,2480000,3583.0546000000
2325,2520000,4269.4655000000
2340,2560000,4117.2163000000
2355,2600000,3855.6606000000
2369,2640000,4324.7720000000
2384,2680000,3888.0786000000
2402,2720000,3306.4078000000
2417,2760000,4112.5994000000
2430,2800000,4530.7463000000
2445,2840000,3750.7450000000
2458,2880000,4442.5178000000
2473,2920000,4041.7144000000
2488,2960000,3863.7241000000
2505,3000000,3691.6823000000
2522,3040000,3478.2675000000
2537,3080000,3876.8805000000
2552,3120000,3856.6145000000
2566,3160000,4059.0375000000
2581,3200000,3903.3866000000
2596,3240000,3891.8002000000
2610,3280000,4086.5190000000
2626,3320000,3736.7937000000
2642,3360000,3639.4053000000
2657,3400000,3923.6301000000
2672,3440000,3804.9147000000
2689,3480000,3496.2809000000
2706,3520000,3408.9627000000
2724,3560000,3537.3079000000
2740,3600000,3676.7310000000
2759,3640000,3259.8808000000
2776,3680000,3355.3846000000
2794,3720000,3376.7313000000
2813,3760000,3211.1632000000
2830,3800000,3407.2101000000
2848,3840000,3251.3588000000
2866,3880000,3405.7826000000
2883,3920000,3594.4533000000
2899,3960000,3469.1440000000
2916,4000000,3611.7018000000
2933,4040000,3566.5340000000
2949,4080000,3447.6372000000
2967,4120000,3601.6259000000
2985,4160000,3399.9102000000
3003,4200000,3274.7834000000
3021,4240000,3281.6238000000
3041,4280000,3104.0097000000
3059,4320000,3230.4763000000
3077,4360000,3267.5643000000
3096,4400000,3245.8416000000
3114,4440000,3151.7739000000
3132,4480000,3409.8470000000
3149,4520000,3624.7469000000
3165,4560000,3635.2238000000
3183,4600000,3352.9813000000
3201,4640000,3271.3808000000
3219,4680000,3393.4476000000
3236,4720000,3518.7551000000
3253,4760000,3553.0305000000
3269,4800000,3608.3868000000
3288,4840000,3318.6520000000
3306,4880000,3378.9686000000
3320,4920000,4096.2281000000
3334,4960000,4046.7291000000
3348,5000000,4334.8571000000
3364,5040000,3746.6503000000
3379,5080000,3784.6617000000
3395,5120000,3885.7839000000
3412,5160000,3527.3678000000
3427,5200000,3848.5470000000
3443,5240000,3779.8035000000
3457,5280000,4163.0017000000
3474,5320000,3564.4347000000
3492,5360000,3473.2038000000
3507,5400000,4014.0978000000
3523,5440000,3794.1906000000
3539,5480000,3687.1730000000
3557,5520000,3326.6427000000
3576,5560000,3343.6420000000
3594,5600000,3327.8086000000
3611,5640000,3549.7316000000
3627,5680000,3781.7589000000
3644,5720000,3562.2976000000
3661,5760000,3424.6319000000
3676,5800000,3991.0139000000
3692,5840000,3817.2241000000
3709,5880000,3393.0060000000
3725,5920000,3670.1436000000
3745,5960000,3199.4419000000
3762,6000000,3354.5881000000
